ID,GeneRatio,BgRatio,Count,qvalue
GO:0035158,53/651,145/48841,53,7.36E-58
GO:0098533,56/651,190/48841,56,1.84E-55
GO:0036376,54/651,172/48841,54,2.15E-55
GO:0071436,54/651,172/48841,54,2.15E-55
GO:0005890,55/651,183/48841,55,2.34E-55
GO:0090533,55/651,184/48841,55,2.75E-55
GO:0006883,56/651,196/48841,56,3.80E-55
GO:0030007,54/651,179/48841,54,1.29E-54
GO:0060439,48/651,129/48841,48,1.50E-53
GO:0035159,54/651,188/48841,54,2.10E-53
GO:0055075,54/651,196/48841,54,2.42E-52
GO:0007630,48/651,138/48841,48,5.46E-52
GO:0051124,48/651,181/48841,48,1.57E-45
GO:0030321,8/651,33/48841,8,2.18E-06
GO:0007566,8/651,39/48841,8,8.40E-06
GO:0006953,8/651,43/48841,8,1.77E-05
GO:0003097,5/651,16/48841,5,0.000291087
GO:0002526,8/651,62/48841,8,0.000293912
GO:0010998,6/651,31/48841,6,0.000452122
GO:1903406,6/651,31/48841,6,0.000452122
GO:0035377,5/651,18/48841,5,0.000452122
GO:0034707,12/651,175/48841,12,0.000651073
GO:0043555,7/651,51/48841,7,0.000676575
GO:0006833,5/651,21/48841,5,0.000908966
GO:0005642,5/651,22/48841,5,0.001116869
GO:0000776,12/651,191/48841,12,0.001260233
GO:0005247,5/651,23/48841,5,0.001260233
GO:1903408,5/651,23/48841,5,0.001260233
GO:0009069,12/651,192/48841,12,0.001268307
GO:0043558,6/651,41/48841,6,0.001705706
GO:0003091,5/651,25/48841,5,0.001758094
GO:0042219,8/651,91/48841,8,0.002963298
GO:0019955,7/651,70/48841,7,0.003924553
GO:0017056,5/651,32/48841,5,0.005625177
GO:0046500,8/651,101/48841,8,0.005735548
GO:0001953,6/651,53/48841,6,0.006338797
GO:2000649,6/651,59/48841,6,0.011203606
GO:0051895,5/651,38/48841,5,0.011203606
GO:2000651,5/651,38/48841,5,0.011203606
GO:0000096,10/651,177/48841,10,0.011203606
GO:0004359,4/651,21/48841,4,0.011770508
GO:0008308,5/651,39/48841,5,0.011775997
GO:1902307,5/651,39/48841,5,0.011775997
GO:0006534,7/651,87/48841,7,0.011808592
GO:0048678,6/651,62/48841,6,0.012004813
GO:1902305,6/651,62/48841,6,0.012004813
GO:1903392,5/651,40/48841,5,0.012178614
GO:1901889,5/651,41/48841,5,0.013433063
GO:0019695,4/651,23/48841,4,0.014266711
GO:0010765,5/651,42/48841,5,0.014425448
GO:0002028,7/651,92/48841,7,0.014425448
GO:0072189,3/651,10/48841,3,0.015092106
GO:0090240,3/651,10/48841,3,0.015092106
GO:0048009,4/651,24/48841,4,0.015092106
GO:0048406,4/651,24/48841,4,0.015092106
GO:0048403,4/651,25/48841,4,0.01746058
GO:0046439,5/651,45/48841,5,0.017651727
GO:0005212,3/651,11/48841,3,0.018795512
GO:0090091,3/651,11/48841,3,0.018795512
GO:0009925,10/651,200/48841,10,0.019915923
GO:0007424,8/651,132/48841,8,0.020937685
GO:0002162,4/651,27/48841,4,0.020989509
GO:0006537,4/651,27/48841,4,0.020989509
GO:0060541,8/651,133/48841,8,0.020989509
GO:0008359,3/651,12/48841,3,0.021849912
GO:0032485,3/651,12/48841,3,0.021849912
GO:0042426,3/651,12/48841,3,0.021849912
GO:0010824,5/651,49/48841,5,0.022104986
GO:1902476,9/651,170/48841,9,0.022201852
GO:0043171,8/651,136/48841,8,0.022265329
GO:0001618,6/651,76/48841,6,0.023640485
GO:0043121,4/651,29/48841,4,0.024444455
GO:1901016,6/651,77/48841,6,0.024658295
GO:0006177,3/651,13/48841,3,0.025124017
GO:0035214,3/651,13/48841,3,0.025124017
GO:0010812,6/651,78/48841,6,0.025373157
GO:1901018,5/651,52/48841,5,0.025748355
GO:0051181,7/651,109/48841,7,0.026426929
GO:0042045,5/651,54/48841,5,0.029314743
GO:0019510,3/651,14/48841,3,0.029314743
GO:0090461,3/651,14/48841,3,0.029314743
GO:0043268,5/651,56/48841,5,0.033237016
GO:1901381,5/651,56/48841,5,0.033237016
GO:0008172,4/651,33/48841,4,0.033237016
GO:0006543,3/651,15/48841,3,0.033237016
GO:0016185,3/651,15/48841,3,0.033237016
GO:0044273,7/651,116/48841,7,0.033237016
GO:0005229,5/651,57/48841,5,0.033237016
GO:0010592,5/651,57/48841,5,0.033237016
GO:0050891,5/651,57/48841,5,0.033237016
GO:0061778,5/651,57/48841,5,0.033237016
GO:0000138,4/651,34/48841,4,0.034684669
GO:0008103,4/651,34/48841,4,0.034684669
GO:0034453,4/651,34/48841,4,0.034684669
GO:0051289,6/651,87/48841,6,0.036089186
GO:0010715,3/651,16/48841,3,0.036920334
GO:0060044,3/651,16/48841,3,0.036920334
GO:0032012,4/651,35/48841,4,0.037168953
GO:0019838,8/651,156/48841,8,0.038182766
GO:0042044,5/651,60/48841,5,0.038182766
GO:0046498,4/651,36/48841,4,0.040148963
GO:0009071,5/651,61/48841,5,0.040334871
GO:0048682,3/651,17/48841,3,0.041803747
GO:0030104,5/651,62/48841,5,0.042158165
GO:0060857,5/651,62/48841,5,0.042158165
GO:0060590,6/651,92/48841,6,0.043194645
GO:0070633,8/651,162/48841,8,0.045282249
GO:0006579,3/651,18/48841,3,0.045678601
GO:0031080,3/651,18/48841,3,0.045678601
GO:0032050,3/651,18/48841,3,0.045678601
GO:0035497,3/651,18/48841,3,0.045678601
GO:0060074,3/651,18/48841,3,0.045678601
